ward_num,shapeName,mean_HII,ndvi_green_fraction,ghsl_informal,population
84,Ward No-84,4.5093689629849845,0.02403932647578076,46196.17955705405,33486.46697390688
68,Ward No-68 (part),1.866403322806137,0.03694936076427119,99944.04314632375,33113.198370481
83,Ward No-83,3.015272640428492,0.1316231655601397,36922.91407832992,25330.02808448941
40,Ward No-40 (Part),2.449014279403021,0.5632828728418846,44152.062615595016,148406.66087694353
11,Ward No-11,2.588168589349415,0.24224108649201734,62884.25847293989,64100.312277281526
71,Ward No-71 (Part),2.474979490214495,0.006090544256382162,157971.86130721078,43180.08345157398
10,Ward No-10,3.284503927489839,0.40259126868699674,30124.295293414907,55588.70432036154
86,Ward No-86,3.7288793638577373,0.10926913053244423,43740.73099802045,34745.95584357767
25,Ward No-25,2.713857024216811,0.07603832256264748,115800.79409853501,110317.12969276581
31,Ward No-31,3.711625310530919,0.2758711554079104,59224.54134466965,57966.78750143613
73,Ward No-73,2.16577625587266,0.1757531747647308,56407.55260380508,20648.201545087035
88,Ward No-88,4.653470413033593,0.036539485706189,39415.30915733245,17342.018748085175
03,Ward No-03,3.6178109761825628,0.13035379922412124,34537.57154311249,34006.82857761757
27,Ward No-27,2.3275944690710237,0.12416069723888137,90942.8597618342,89396.24432085823
81,Ward No-81,2.831393338247781,0.057320037930742154,58965.68461079786,35133.642136158676
29,Ward No-29,2.762886939052106,0.1073053295116866,76430.50627934281,46790.062061982986
63,Ward No-63 (Part),1.4536612137579032,0.31556223840174435,150419.9957969734,61285.83610552619
85,Ward No-85,3.204761254945676,0.351577593926267,36545.34996610804,42764.546131867035
01,Ward No-01,2.896029163588067,0.1844438680459742,30204.540422371338,214629.62255203215
19,Ward No-19,1.502346623927737,0.342947602158992,29805.49064592812,161671.78814563388
74,Ward No-74,3.0679119771213497,0.013056173737599042,144802.22200371145,61399.45505981445
89,Ward No-89,4.1815284502109735,0.022853310409386866,38892.78061150261,25518.467861040906
67,Ward No-67 (part),1.4899645334488776,0.27360598822418464,124528.49445350874,56837.97750483495
23,Ward No-23,2.7413311430074576,0.1701673588024646,90824.98290838346,70999.8379271264
78,Ward No-78,1.7716795461345936,0.06127210405414436,86552.80204357725,24139.45420951095
69,Ward No-69,1.6496541368924331,0.0301456393491287,169528.57387675424,63012.79235169654
70,Ward No-70,2.556861930825937,0.009694496969081664,218856.65787829983,74138.04114535463
62,Ward No-62,1.3977083245378583,0.4252581918363558,106249.17768763877,95987.35707188024
66,Ward No-66 (Part),3.1737773899413577,0.03814501639632624,63430.53326132139,21705.045934998758
06,Ward No-06,2.7861686937019052,0.3850214442776047,71265.63418242497,319583.8916359098
46,Ward No-46,1.6004309242980321,0.2307417712777465,33236.372899254544,169123.47044671746
76,Ward No-76 (Part),2.8638157692081503,0.16905583896300483,79834.41323953086,43156.32966763365
41,Ward No-41,2.847667908401008,0.260518260730735,70828.15781668745,106115.27413270237
36,Ward No-36,2.835963145817925,0.12376114268486402,49509.1149768754,63057.7423181272
47,Ward No-47 (part),3.0130406805770114,0.3230730096184453,48107.16674414059,63808.0796469296
45,Ward No-45,1.8657343834925193,0.2840290546321749,84270.97118899522,114389.20672912605
08,Ward No-08,1.5294797337364134,0.5484832307810884,72136.18294816017,273067.37286330573
17,Ward No-17 (Part),3.0943698091917797,0.250586015751872,22756.506460623434,171939.82101337862
77,Ward No-77,2.37390729767871,0.056063371098397895,88642.09201869438,35605.62316463695
79,Ward No-79,2.0979679695043396,0.06449656920343756,55385.763409762265,24742.952790563253
75,Ward No-75,3.284824552320995,0.10358132314062149,60084.103693568286,31597.971250287224
02,Ward No-02,2.521570771165003,0.27042156690406177,10738.239792505366,27025.28541009193
56,Ward No-56 (part),1.383299327235521,0.5818196312550654,39828.94856177723,114001.88865160476
48,Ward No-48 (Part),3.8771556655801778,0.19180349061496396,34878.733194708715,107173.39158504711
72,Ward No-72,1.6985745284303342,0.0429020075227013,78019.91729970255,14592.802040249695
91,Ward No-91,4.078461555025841,0.0702056170829914,28389.635640011868,34670.63307007435
44,Ward No-44,2.0853896667746885,0.1138626523192722,107474.55920098393,58992.645410156256
37,Ward No-37,3.837434989870481,0.2552322144515032,63176.24405100413,182444.55811336744
87,Ward No-87,4.5670992570071745,0.030192107797637282,48428.760604091,31818.805767223887
43,Ward No-43,2.8645471823234017,0.05799020311444901,82946.93097163095,151275.18804566626
21,Ward No-21,2.763523046131747,0.11133463588667455,41011.831445127274,63671.58888489966
60,Ward No-60,3.740375000563061,0.029619786460850044,87265.52524502896,37786.29357072419
12,Ward No-12,2.434144414526736,0.20471922941322268,66649.50759468084,107555.72348046392
33,Ward No-33,2.127683759456259,0.5653119782233791,62843.02493639096,27059.258687217563
98,Ward No-98 (rest. Area),3.9778818801363958,0.5436772605575272,12813.638258594361,168950.11755056572
18,Ward No-18,2.795730754983856,0.22951592996519418,25757.630228154863,36536.95244806326
24,Ward No-24,2.9084492054959488,0.14195583109177098,101181.93552823164,93891.66240090762
59,Ward No-59,2.43337068662724,0.3674348230122434,69529.25179584883,36694.55222335517
20,Ward No-20 (Part),3.3308697707771824,0.3286386973061577,44117.51664289904,85809.07852068133
90,Ward No-90,4.888418632389966,0.1052295357819693,42153.79068464796,40383.39553378237
32,Ward No-32,3.0254647890605604,0.2843690076262467,46840.5382390713,49203.72759465236
39,Ward No-39,3.1111262324431297,0.20795688762867934,94810.46703446691,109012.81865401924
50,Ward No-50,2.161054915550128,0.03253231705530004,98984.03143822013,70158.7439886355
65,Ward No-65,3.65735040509905,0.05132751394397685,84561.88881135569,46062.646426242005
57,Ward No-57,1.5557838707575313,0.5310439563640427,53926.15872386567,66317.24400353525
61,Ward No-61,2.503350297109197,0.18436699884116933,132392.89902869644,53744.529685824535
38,Ward No-38 (Part),3.4952168353187174,0.26643181224674506,79776.97779407793,98238.65188323372
55,Ward No-55,2.2545624860591293,0.22919535161549942,58947.60791473172,44144.38223152909
30,Ward No-30,3.291287243394838,0.06264107089054374,54939.555862485955,22861.61496698717
34,Ward No-34,2.7646746862355536,0.3636596482629562,76753.64054107314,57101.676612046176
53,Ward No-53,1.6625675932781314,0.3996475839876692,51228.697160550866,89563.8031313429
92,Ward No-92,3.487147591373675,0.025714906516567295,29589.190992229283,21125.821964578077
64,Ward No-64,2.2730256077577526,0.03836211272775555,180958.80241611853,41508.67984116498
13,Ward No-13,2.4818876839002,0.11399969379550097,110561.64169801932,229855.85131129838
28,Ward No-28,1.8347674953700712,0.2675229337166888,81320.01274259988,88075.6602355957
22,Ward No-22,2.3094836990056002,0.12005329084323192,89186.32642187344,205502.5184172387
54,Ward No-54,1.9115609940694125,0.13507785033415828,60995.8803732466,57080.642084877174
15,Ward No-15 (part),2.7635031238502905,0.4958959077260278,25750.645691489546,194829.55117047162
49,Ward No-49,1.841149520688582,0.2935026917465473,63419.597762977544,135310.34580209767
07,Ward No-07 (Part),2.808617501059066,0.27711777416723055,165092.11494807582,161629.07944659056
42,Ward No-42,2.5011721472582646,0.09457380769468506,103871.31675787024,63188.63963240081
51,Ward No-51 (part),2.1860802360433453,0.16666814128574942,67350.76416736173,70887.10791099399
52,Ward No-52,1.9230664384045242,0.5346875073545879,48673.56108048911,80008.8830984976
16,Ward No-16,3.6316700024755404,0.429146666824155,46648.06165584556,181007.29496669397
58,Ward No-58,4.590173552012109,0.15097453843803,55032.30267471165,82244.99417859246
04,Ward No-04,3.35211940881239,0.29238009472013105,37627.450506675275,58667.56549772376
35,Ward No-35,2.9248530355785722,0.057797860783708556,72034.65242582951,37954.0684366862
09,Ward No-09,2.922612488767422,0.1720018790215361,21502.615663390574,43990.39510339475
80,Ward No-80 (Part),2.4127000460180414,0.030742654296342282,76466.84810522568,13861.290203977098
26,Ward No-26,2.64397620873748,0.14743778457381515,91252.15228582533,186165.7289087033
14,Ward No-14 (part),2.962857448578206,0.08706079936638489,103750.15000294666,194635.19832105443
82,Ward No-82,1.772610502615747,0.16445060042507528,41546.730695792976,17155.96484991335
05,Ward No-05,4.619331570442674,0.11488864484132108,16022.382136579326,22044.864576661355
